step,mean
0,63.5
1,66.5
2,65.3
3,66.1
4,66.0
5,65.4
6,45.4
7,43.9
8,64.5
9,64.5
10,64.5
11,64.9
12,64.5
13,64.5
14,64.6
15,64.2
16,63.9
17,63.8
18,29.6
19,15.6
20,15.3
21,12.0
22,11.8
23,11.8
24,63.9
25,63.5
26,65.0
27,65.1
28,13.0
29,12.9
30,12.8
31,13.1
32,13.9
33,12.7
34,13.3
35,13.6
36,13.0
37,12.9
38,13.0
39,21.0
40,64.4
41,64.8
42,64.3
43,63.5
44,63.9
45,63.9
46,32.9
47,11.9
48,11.9
49,65.7
50,64.4
51,64.5
52,65.9
53,64.1
54,63.2
55,65.0
56,65.4
57,45.4
58,14.7
59,14.8
60,13.3
61,12.3
62,13.2
63,12.6
64,12.6
65,13.4
66,12.4
67,13.1
68,13.2
69,44.9
70,64.5
71,63.5
72,64.5
73,63.7
74,46.1
75,64.9
76,64.1
77,65.4
78,63.9
79,65.4
80,64.2
81,64.1
82,65.0
83,65.7
84,64.9
85,65.1
86,36.4
87,15.6
88,18.4
89,51.6
90,65.7
91,64.2
92,20.2
93,55.5
94,64.9
95,63.9
96,30.6
97,26.4
98,64.9
99,64.9
100,65.7
101,64.7
102,65.5
103,64.3
104,63.9
105,45.0
106,14.1
107,14.2
108,14.2
109,11.9
110,11.8
111,11.8
112,63.9
113,64.4
114,63.9
115,65.0
116,63.7
117,63.7
118,63.5
119,63.5
120,63.8
121,65.3
122,21.8
123,13.0
124,12.7
125,12.8
126,12.6
127,13.0
128,13.0
129,12.5
130,12.2
131,12.4
132,12.5
133,12.5
134,12.3
135,12.3
136,12.4
137,29.2
138,66.0
139,64.4
140,65.3
141,64.5
142,43.6
143,13.1
144,13.0
145,13.2
146,13.2
147,12.9
148,13.1
149,62.9
150,63.9
151,63.9
152,63.9
153,13.1
154,12.7
155,12.7
156,12.8
157,12.7
158,12.7
159,12.8
160,14.9
161,15.0
162,15.0
163,64.4
164,64.1
165,64.4
166,65.0
167,63.4
168,63.9
169,57.4
170,16.1
171,15.9
172,38.1
173,64.1
174,65.7
175,63.6
176,65.0
177,63.8
178,63.9
179,21.1
180,65.0
181,64.2
182,64.5
183,37.9
184,64.9
185,63.8
186,27.2
187,64.9
188,65.5
189,65.5
190,64.1
191,63.1
192,63.9
193,63.3
194,21.6
195,27.7
196,64.1
197,65.0
198,65.7
199,64.5
200,64.4
201,65.8
202,63.7
203,62.1
204,63.9
205,19.4
206,13.9
207,14.0
208,13.8
209,14.3
210,12.7
211,13.5
212,13.2
213,13.4
214,13.5
215,63.3
216,66.5
217,64.9
218,65.8
219,30.6
220,58.7
221,40.7
222,16.7
223,16.8
224,43.7
225,65.0
226,65.0
227,66.5
228,65.8
229,64.9
230,65.7
231,65.6
232,64.5
233,65.1
234,65.3
235,63.9
236,16.1
237,31.5
238,34.8
239,11.3
240,11.3
241,13.5
242,36.5
243,65.0
244,65.6
245,65.1
246,28.2
247,65.1
248,61.1
249,39.8
250,64.5
251,58.1
252,17.8
253,17.9
254,65.3
255,65.7
256,65.7
257,65.3
258,65.5
259,66.0
260,64.2
261,65.5
262,63.5
263,63.6
264,63.5
265,64.2
266,63.9
267,64.7
268,64.7
269,64.5
270,26.8
271,17.1
272,18.1
273,17.2
274,19.2
275,65.1
276,66.3
277,65.5
278,64.9
279,65.5
280,66.3
281,65.5
282,64.6
283,65.5
284,66.1
285,65.3
286,64.1
287,64.8
288,64.8
289,27.7
290,15.8
291,32.1
292,16.0
293,16.2
294,57.0
295,63.7
296,65.3
297,50.7
298,21.8
299,63.9
300,18.6
301,11.8
302,11.8
303,11.9
304,11.8
305,11.9
306,11.9
307,11.8
308,36.3
309,64.2
310,64.3
311,64.4
312,64.3
313,64.4
314,64.4
315,64.4
316,63.8
317,64.1
318,62.7
319,63.7
320,63.7
321,36.7
322,60.8
323,64.1
324,64.1
325,46.8
326,15.0
327,14.9
328,15.0
329,44.6
330,63.6
331,63.9
332,63.8
333,64.4
334,64.2
335,63.3
336,63.9
337,65.0
338,20.9
339,64.8
340,51.4
341,63.9
342,63.5
343,64.1
344,65.3
345,35.9
346,65.1
347,65.7
348,65.1
349,63.9
350,63.5
351,65.4
352,29.1
353,18.3
354,35.9
355,66.3
356,65.6
357,65.0
358,64.7
359,65.5
360,63.3
361,63.2
362,30.6
363,25.6
364,49.2
365,64.1
366,64.1
367,64.7
368,62.9
369,14.7
370,14.6
371,14.8
372,14.8
373,18.1
374,48.8
375,64.5
376,64.3
377,64.4
378,65.3
379,64.7
380,32.1
381,65.9
382,64.9
383,64.2
384,64.3
385,65.1
386,65.3
387,66.0
388,65.2
389,64.0
390,64.1
391,65.5
392,62.4
393,13.2
394,12.9
395,12.8
396,13.1
397,12.5
398,12.7
399,12.7
400,12.7
401,18.4
402,65.1
403,65.9
404,64.1
405,63.3
406,62.3
407,20.6
408,14.4
409,14.2
410,14.5
411,13.3
412,14.3
413,14.3
414,14.3
415,14.2
416,64.0
417,64.6
418,65.1
419,65.1
420,65.6
421,66.1
422,64.9
423,65.3
424,64.0
425,63.9
426,64.9
427,47.0
428,36.0
429,65.0
430,66.0
431,65.1
432,63.9
433,63.2
434,62.8
435,15.3
436,15.2
437,28.5
438,56.6
439,39.2
440,66.5
441,66.3
442,65.6
443,64.5
444,64.8
445,65.1
446,65.9
447,66.5
448,65.8
449,65.9
450,65.0
451,64.7
452,65.9
453,66.5
454,65.5
455,64.9
456,66.0
457,30.3
458,64.7
459,13.6
460,13.0
461,13.0
462,13.2
463,13.2
464,13.5
465,13.1
466,14.2
467,14.6
468,14.8
469,14.4
470,14.6
471,64.7
472,66.0
473,65.3
474,64.8
475,27.0
476,47.2
477,65.4
478,64.5
479,64.4
480,66.2
481,41.1
482,23.4
483,65.5
484,64.9
485,64.5
486,63.9
487,64.0
488,60.7
489,14.3
490,14.6
491,14.8
492,14.8
493,59.4
494,64.7
495,63.5
496,42.9
497,15.4
498,28.0
499,14.8
500,14.6
501,14.6
502,14.6
503,14.6
504,14.6
505,14.6
506,14.6
507,14.6
508,14.6
509,14.6
510,14.6
511,14.6
512,14.6
513,14.6
514,14.6
515,14.6
516,14.6
517,14.6
518,14.6
519,56.5
520,62.7
521,39.7
522,17.1
523,22.4
524,46.2
525,63.9
526,63.3
527,44.4
528,24.1
529,42.4
530,63.7
531,64.1
532,64.1
533,64.1
534,63.4
535,63.7
536,64.8
537,64.8
538,41.6
539,20.2
540,21.1
541,28.2
542,52.4
543,66.7
544,65.8
545,63.1
546,57.0
547,44.6
548,52.0
549,65.0
550,64.5
551,39.8
552,15.1
553,14.7
554,14.8
555,14.0
556,13.1
557,13.1
558,12.8
559,13.2
560,12.8
561,13.0
562,13.0
563,30.8
564,58.1
565,64.6
566,64.7
567,65.0
568,66.3
569,65.2
570,65.3
571,66.3
572,66.3
573,66.2
574,65.4
575,64.5
576,64.5
577,62.1
578,37.8
579,15.4
580,15.6
581,15.8
582,28.4
583,54.3
584,66.0
585,66.0
586,65.5
587,64.2
588,65.5
589,62.5
590,39.1
591,18.2
592,16.1
593,15.7
594,16.0
595,40.0
596,64.6
597,64.5
598,62.9
599,45.5
600,23.2
601,20.2
602,25.6
603,48.0
604,63.7
605,63.0
606,63.1
607,63.1
608,41.2
609,17.9
610,41.8
611,65.5
612,65.1
613,40.8
614,16.7
615,16.7
616,16.6
617,40.2
618,64.8
619,64.8
620,64.3
621,63.9
622,64.1
623,65.1
624,65.1
625,44.8
626,45.4
627,65.9
628,65.7
629,65.9
630,65.7
631,64.1
632,63.7
633,63.8
634,64.0
635,41.1
636,16.6
637,15.8
638,17.4
639,37.0
640,64.8
641,65.5
642,65.5
643,65.3
644,65.2
645,64.7
646,63.1
647,61.7
648,62.9
649,48.1
650,22.8
651,13.9
652,14.2
653,13.9
654,16.1
655,17.9
656,41.8
657,65.7
658,65.8
659,65.8
660,43.6
661,40.8
662,62.5
663,40.0
664,15.2
665,15.7
666,15.6
667,15.7
668,41.2
669,66.7
670,66.7
671,65.4
672,65.7
673,65.2
674,65.2
675,65.1
676,65.1
677,62.7
678,59.4
679,41.9
680,18.2
681,17.9
682,41.4
683,46.2
684,63.7
685,63.7
686,37.7
687,27.1
688,13.1
689,13.1
690,13.4
691,14.7
692,16.0
693,17.1
694,17.9
695,20.2
696,44.3
697,50.6
698,64.5
699,64.3
700,64.5
701,42.6
702,43.0
703,65.0
704,64.8
705,42.5
706,22.2
707,44.2
708,66.1
709,66.3
710,66.3
711,65.3
712,65.4
713,65.3
714,64.5
715,63.8
716,64.1
717,63.9
718,44.5
719,55.5
720,53.0
721,37.9
722,19.4
723,18.1
724,17.9
725,21.3
726,44.6
727,64.5
728,64.3
729,65.2
730,65.1
731,65.1
732,65.3
733,63.8
734,63.3
735,41.9
736,18.8
737,21.6
738,44.9
739,65.5
740,65.5
741,64.9
742,63.4
743,62.7
744,63.9
745,39.2
746,14.0
747,14.0
748,13.9
749,13.7
750,15.7
751,15.2
752,15.2
753,14.9
754,16.1
755,17.9
756,27.5
757,64.8
758,64.0
759,64.1
760,64.9
761,65.6
762,65.0
763,64.9
764,64.7
765,65.0
766,32.6
767,19.1
768,19.1
769,33.1
770,66.7
771,66.0
772,65.9
773,65.1
774,65.1
775,64.3
776,64.2
777,64.3
778,60.4
779,16.8
780,16.2
781,20.0
782,64.2
783,62.7
784,33.5
785,15.2
786,15.3
787,15.3
788,15.3
789,21.2
790,48.0
791,64.0
792,64.8
793,65.1
794,65.6
795,65.7
796,64.5
797,63.7
798,63.5
799,63.5
800,63.9
801,34.9
802,38.4
803,63.7
804,63.0
805,63.3
806,47.8
807,15.2
808,15.3
809,14.6
810,19.7
811,44.2
812,63.7
813,44.5
814,18.1
815,27.9
816,64.0
817,64.0
818,63.6
819,63.0
820,43.5
821,36.2
822,65.2
823,64.8
824,64.7
825,41.5
826,22.7
827,59.6
828,65.1
829,65.0
830,65.5
831,64.5
832,64.2
833,64.8
834,64.4
835,15.3
836,15.6
837,15.7
838,15.4
839,16.0
840,23.8
841,57.6
842,66.0
843,66.0
844,66.4
845,64.8
846,64.8
847,64.3
848,39.4
849,13.8
850,14.2
851,14.3
852,14.4
853,16.1
854,19.5
855,39.0
856,63.8
857,65.1
858,66.1
859,66.1
860,65.1
861,64.8
862,65.1
863,64.1
864,64.2
865,64.5
866,55.3
867,31.6
868,18.9
869,42.8
870,66.3
871,65.3
872,64.6
873,63.1
874,62.7
875,62.6
876,62.9
877,63.9
878,42.5
879,42.0
880,39.9
881,16.2
882,15.7
883,15.9
884,16.4
885,16.4
886,16.0
887,26.1
888,50.4
889,63.1
890,63.9
891,64.8
892,64.1
893,63.2
894,64.5
895,65.2
896,65.7
897,65.9
898,45.5
899,34.0
900,64.8
901,63.9
902,64.1
903,30.3
904,38.0
905,65.7
906,65.3
907,65.1
908,64.9
909,32.0
910,39.4
911,64.9
912,63.7
913,63.5
914,63.7
915,26.9
916,48.3
917,62.6
918,61.5
919,60.3
920,23.4
921,14.3
922,13.8
923,13.9
924,13.2
925,13.5
926,13.2
927,13.1
928,14.2
929,14.0
930,14.0
931,14.8
932,19.1
933,38.8
934,62.1
935,66.4
936,66.5
937,65.5
938,64.5
939,65.3
940,65.5
941,64.9
942,64.5
943,64.0
944,64.5
945,64.3
946,63.9
947,62.6
948,62.7
949,38.0
950,14.5
951,15.7
952,15.4
953,15.3
954,15.4
955,38.2
956,63.1
957,63.5
958,61.4
959,37.9
960,18.2
961,18.8
962,18.9
963,33.6
964,58.4
965,66.5
966,65.5
967,65.1
968,64.5
969,65.5
970,66.1
971,66.5
972,44.5
973,23.9
974,48.8
975,66.0
976,66.7
977,65.7
978,65.7
979,65.8
980,66.3
981,64.5
982,62.7
983,60.7
984,59.7
985,40.6
986,13.7
987,13.8
988,14.1
989,13.7
990,14.7
991,23.5
992,44.6
993,65.1
994,65.8
995,64.2
996,65.1
997,65.7
998,64.9
999,64.2
1000,65.7
1001,65.7
1002,63.6
1003,63.5
1004,63.5
1005,63.7
1006,43.1
1007,40.8
1008,44.3
1009,64.1
1010,63.3
1011,62.9
