step,mean
0,11.8
1,13.9
2,14.1
3,13.7
4,2.7
5,5.5
6,11.3
7,11.6
8,11.6
9,11.5
10,10.9
11,12.0
12,12.2
13,10.8
14,9.2
15,9.4
16,11.8
17,9.8
18,11.4
19,11.3
20,12.2
21,12.0
22,11.5
23,12.2
24,11.6
25,11.8
26,8.0
27,2.5
28,11.7
29,12.1
30,12.1
31,11.4
32,12.1
33,12.0
34,11.4
35,12.2
36,11.8
37,11.5
38,12.3
39,11.8
40,11.6
41,12.2
42,11.8
43,11.6
44,11.9
45,11.9
46,35.0
47,42.1
48,42.2
49,41.2
50,42.4
51,42.4
52,42.4
53,42.4
54,42.4
55,55.2
56,56.2
57,58.1
58,47.8
59,31.6
60,0.2
61,14.4
62,14.4
63,14.3
64,12.5
65,12.7
66,11.8
67,11.5
68,11.8
69,12.0
70,11.6
71,11.4
72,11.6
73,11.8
74,12.0
75,11.4
76,11.6
77,11.8
78,11.3
79,11.6
80,36.7
81,42.0
82,29.6
83,29.1
84,30.0
85,29.6
86,30.5
87,29.9
88,43.2
89,43.1
90,43.2
91,43.5
92,44.2
93,48.3
94,22.4
95,14.7
96,14.8
97,12.5
98,13.2
99,12.6
100,12.3
101,13.1
102,13.2
103,12.5
104,14.6
105,14.8
106,14.5
107,30.6
108,43.1
109,45.1
110,45.2
111,43.9
112,45.1
113,44.0
114,46.7
115,51.4
116,48.4
117,44.0
118,8.9
119,8.1
120,9.5
121,44.7
122,46.3
123,45.3
124,46.8
125,9.5
126,10.2
127,38.2
128,38.4
129,38.0
130,43.3
131,36.4
132,9.8
133,9.8
134,9.9
135,10.0
136,10.1
137,10.9
138,17.6
139,41.0
140,41.1
141,35.4
142,36.0
143,36.2
144,36.8
145,44.4
146,18.1
147,14.3
148,15.7
149,15.0
150,33.5
151,34.0
152,34.4
153,40.5
154,46.2
155,45.9
156,45.7
157,45.7
158,22.1
159,22.1
160,12.1
161,10.4
162,9.8
163,11.1
164,8.0
165,7.4
166,7.7
167,7.6
168,31.6
169,35.9
170,36.0
171,35.9
172,38.7
173,37.9
174,11.4
175,11.1
176,11.1
177,37.0
178,39.1
179,39.2
180,39.1
181,39.1
182,38.4
183,38.5
184,36.9
185,15.4
186,16.2
187,13.4
188,11.6
189,12.0
190,11.9
191,12.3
192,12.2
193,12.1
194,12.7
195,12.3
196,12.0
197,12.1
198,11.9
199,11.7
200,11.5
201,12.6
202,36.4
203,36.8
204,37.8
205,37.7
206,25.1
207,25.7
208,13.2
209,12.9
210,13.0
211,12.8
212,12.8
213,12.8
214,13.0
