step,mean
0,13.9
1,13.5
2,14.1
3,11.9
4,0.4
5,11.3
6,12.4
7,12.6
8,11.4
9,11.4
10,11.7
11,10.8
12,11.1
13,11.6
14,12.0
15,12.2
16,12.5
17,11.8
18,11.2
19,10.9
20,11.6
21,9.7
22,10.0
23,11.1
24,9.3
25,10.6
26,10.0
27,12.8
28,12.3
29,11.4
30,12.2
31,12.0
32,11.5
33,12.0
34,10.5
35,11.9
36,11.2
37,12.1
38,11.9
39,11.1
40,12.0
41,10.8
42,12.2
43,8.9
44,15.0
45,23.8
46,28.1
47,27.2
48,38.8
49,55.8
50,58.7
51,44.3
52,52.7
53,49.3
54,53.1
55,56.7
56,45.4
57,45.1
58,59.7
59,45.8
60,50.9
61,60.1
62,60.4
63,61.1
64,60.7
65,30.8
66,6.3
67,6.3
68,6.3
69,13.0
70,10.0
71,9.9
72,10.6
73,11.3
74,9.8
75,12.2
76,12.4
77,12.4
78,12.4
79,12.4
80,11.5
81,12.7
82,11.4
83,12.3
84,61.1
85,45.6
86,54.6
87,51.4
88,50.4
89,61.5
90,58.1
91,61.9
92,62.7
93,57.5
94,47.6
95,62.5
96,51.2
97,61.9
98,54.6
99,54.8
100,58.0
101,60.5
102,54.1
103,15.0
104,15.2
105,14.0
106,13.4
107,13.1
108,12.6
109,12.6
110,12.8
111,12.3
112,13.5
113,13.3
114,13.3
115,13.4
116,13.4
117,54.1
118,30.1
119,53.0
120,45.2
121,54.9
122,54.9
123,54.9
124,48.4
125,38.0
126,35.9
127,39.2
128,51.9
129,42.3
130,21.9
131,20.2
132,51.8
133,47.6
134,56.5
135,44.0
136,14.8
137,17.2
138,36.0
139,29.6
140,32.1
141,39.6
142,36.9
143,44.3
144,50.7
145,49.9
146,29.9
147,11.9
148,11.6
149,11.3
150,11.2
151,11.2
152,11.2
153,8.9
154,8.1
155,7.9
156,7.7
157,38.3
158,30.9
159,35.1
160,35.6
161,44.2
162,37.7
163,38.6
164,32.7
165,10.0
166,9.7
167,11.3
168,17.4
169,41.6
170,39.6
171,53.0
172,41.3
173,52.9
174,37.5
175,37.4
176,38.4
177,25.5
178,15.2
179,53.4
180,36.3
181,50.4
182,39.0
183,55.2
184,10.8
185,11.6
186,10.2
187,10.3
188,10.3
189,10.4
190,10.4
191,12.4
192,12.3
193,12.3
194,12.2
195,38.7
196,31.6
197,34.8
198,34.6
199,36.8
200,40.5
201,36.5
202,38.6
