step,mean
0,13.1
1,15.2
2,15.6
3,16.2
4,10.6
5,9.2
6,11.2
7,9.9
8,9.3
9,10.9
10,11.6
11,10.5
12,10.1
13,12.2
14,12.2
15,12.6
16,12.8
17,12.6
18,12.2
19,12.0
20,12.0
21,11.0
22,9.8
23,9.8
24,11.1
25,11.8
26,8.9
27,12.6
28,11.4
29,10.9
30,9.8
31,9.6
32,10.0
33,11.0
34,11.6
35,12.3
36,12.4
37,11.5
38,12.8
39,11.6
40,12.5
41,12.0
42,12.0
43,12.6
44,37.3
45,39.7
46,44.0
47,42.6
48,44.1
49,44.0
50,43.1
51,39.1
52,44.2
53,45.1
54,45.0
55,49.4
56,50.4
57,49.3
58,28.0
59,12.3
60,13.2
61,12.5
62,12.8
63,12.4
64,12.0
65,12.2
66,11.7
67,11.3
68,11.8
69,12.2
70,12.1
71,12.0
72,11.3
73,11.9
74,12.1
75,12.0
76,20.3
77,40.9
78,41.4
79,41.8
80,43.0
81,40.2
82,42.7
83,41.3
84,43.8
85,43.7
86,43.6
87,43.9
88,41.5
89,46.1
90,34.1
91,35.8
92,16.5
93,10.7
94,10.9
95,9.7
96,12.8
97,12.5
98,12.7
99,13.0
100,12.7
101,12.8
102,41.3
103,38.6
104,38.6
105,38.6
106,38.6
107,38.6
108,41.2
109,41.2
110,41.2
111,43.5
112,11.6
113,27.3
114,29.6
115,29.2
116,29.4
117,8.0
118,7.6
119,8.9
120,17.3
121,40.0
122,39.8
123,42.0
124,44.1
125,44.7
126,27.2
127,40.5
128,40.8
129,39.8
130,40.5
131,46.1
132,46.9
133,45.6
134,11.2
135,11.0
136,10.9
137,12.6
138,12.4
139,12.5
140,12.6
141,12.3
142,12.3
143,14.8
144,11.6
145,11.8
146,11.8
147,19.5
148,37.1
149,37.9
150,27.6
151,39.6
152,39.4
153,38.2
154,39.9
155,39.0
156,38.0
157,40.3
158,39.0
159,40.0
160,40.0
161,37.5
162,37.5
163,28.2
164,38.0
165,44.2
166,45.6
167,11.8
168,11.9
169,12.2
170,12.0
171,11.8
172,11.3
173,11.9
174,10.9
175,11.8
176,10.4
177,11.2
178,10.6
179,11.5
180,10.6
181,10.1
182,11.1
183,10.6
184,11.6
185,10.5
186,10.2
187,11.2
188,9.3
189,24.4
190,21.1
191,28.1
192,27.6
193,28.1
194,37.0
195,36.6
196,36.9
197,37.0
198,36.5
199,37.3
200,37.9
201,37.6
202,37.6
203,36.9
204,27.6
205,26.6
206,15.3
207,20.5
208,12.5
209,13.0
210,12.7
211,12.8
212,12.7
213,12.5
214,12.3
215,12.8
216,11.8
217,11.7
218,11.6
219,9.6
220,8.9
221,22.0
222,28.9
223,38.2
224,37.5
225,37.4
226,37.1
227,37.4
228,31.1
229,29.9
230,29.2
231,30.0
232,30.1
233,30.4
234,29.1
235,29.8
236,30.5
237,29.9
238,29.3
239,31.6
240,34.0
241,27.4
242,27.8
243,12.6
244,12.6
245,12.7
246,14.3
247,14.3
248,14.8
249,14.3
250,14.8
251,14.1
252,10.0
253,12.2
254,12.7
255,12.7
256,12.4
257,12.7
258,12.8
259,13.7
260,28.9
261,29.8
262,30.5
263,23.6
264,10.2
265,15.5
266,25.4
267,26.7
268,25.8
269,25.4
270,35.9
271,34.8
272,33.2
273,37.6
274,38.2
275,30.6
276,13.3
277,13.1
278,28.8
279,29.8
280,28.0
281,27.8
282,28.8
283,26.7
284,23.9
285,24.1
286,24.6
287,32.8
288,35.0
289,34.2
290,27.3
291,25.4
292,26.4
293,25.4
294,16.8
295,25.4
296,31.8
297,34.0
298,35.5
299,36.7
300,34.1
301,31.8
302,22.2
303,35.0
304,23.8
305,21.6
306,20.0
307,12.9
308,14.3
309,14.2
310,14.1
311,33.6
312,30.7
313,34.9
314,31.5
315,31.9
316,30.6
317,31.2
318,34.5
319,33.8
320,34.1
321,34.8
322,34.1
323,31.9
324,35.4
325,19.7
326,14.1
327,14.2
328,13.9
329,12.5
330,14.9
331,14.7
332,15.1
333,35.8
334,35.4
335,36.3
336,33.5
337,29.6
338,29.8
339,33.9
340,34.0
341,33.8
342,34.4
343,33.2
344,28.6
345,27.6
346,8.7
347,8.8
348,9.3
349,10.8
350,11.1
351,27.9
352,23.2
353,28.2
354,28.5
355,24.1
356,28.2
357,38.2
358,26.8
359,28.4
360,8.5
361,9.2
362,18.2
363,17.9
364,18.0
365,26.2
366,35.1
367,33.3
368,32.6
369,30.8
370,30.8
371,22.1
372,22.5
373,31.6
374,29.6
375,23.7
376,28.8
377,12.3
378,17.1
379,30.7
380,13.1
381,13.2
382,13.2
383,13.0
384,11.6
385,17.8
386,17.2
387,17.2
388,18.0
389,17.8
390,17.8
391,32.4
392,30.4
393,33.4
394,32.1
395,29.7
396,28.8
397,11.3
398,10.9
399,11.2
400,10.5
401,14.8
402,14.8
403,14.4
404,19.6
405,22.6
406,30.6
407,17.8
408,18.6
409,18.4
410,18.6
411,17.4
412,17.6
413,18.2
414,31.6
415,34.1
416,36.3
417,36.0
418,21.9
419,34.2
420,30.0
421,25.3
422,25.3
423,25.2
424,22.2
425,25.7
426,24.3
427,13.4
428,13.7
429,22.6
430,28.0
431,13.2
432,12.3
433,13.2
434,12.0
435,8.0
436,9.7
437,10.7
438,26.6
439,17.6
440,17.0
441,27.2
442,33.2
443,32.4
444,33.0
445,33.4
446,35.2
447,34.8
448,35.1
449,21.6
450,35.0
451,33.1
452,29.6
453,32.2
454,22.1
455,26.9
456,18.9
457,32.9
458,35.6
459,31.6
460,32.2
461,21.6
462,27.1
463,33.6
464,30.9
465,31.8
466,30.8
467,31.9
468,31.6
469,33.8
470,23.5
471,33.9
472,23.1
473,24.2
474,37.1
475,16.7
476,16.4
477,20.8
478,31.2
479,22.4
480,30.1
481,31.3
482,33.0
483,28.8
484,29.6
485,16.9
486,12.6
487,23.1
488,28.7
489,23.5
490,24.1
491,23.1
492,22.9
493,23.1
494,22.4
495,23.1
496,31.1
497,31.8
498,35.2
499,35.1
500,35.1
501,29.0
502,29.0
503,29.0
504,12.3
505,24.6
506,27.7
507,25.8
508,16.0
509,11.8
510,16.7
511,29.0
512,29.7
513,18.4
514,13.3
515,13.7
516,13.8
517,13.7
518,13.7
519,12.8
520,19.8
521,34.5
522,30.4
523,31.2
524,30.5
525,30.0
526,31.6
527,30.0
528,29.6
529,28.1
530,33.5
531,30.9
532,28.8
533,21.6
534,25.4
535,20.1
536,31.4
537,26.5
538,22.2
539,30.2
540,31.6
541,29.6
542,30.9
543,29.9
544,29.5
545,22.9
546,32.7
547,29.3
548,31.2
549,30.1
550,32.4
551,31.6
552,31.6
553,31.6
554,31.6
555,31.6
556,25.9
557,25.7
558,20.8
559,13.0
560,13.2
561,13.3
562,13.0
563,13.1
564,24.2
565,30.7
566,30.0
567,31.6
568,22.9
569,23.3
570,27.2
571,25.9
572,27.0
573,24.0
574,12.0
575,21.3
576,27.9
577,26.4
578,22.9
579,24.9
580,13.3
581,12.5
582,13.4
583,12.2
584,9.9
585,25.9
586,17.4
587,19.6
588,21.5
589,31.8
590,31.6
591,21.6
592,11.8
593,13.2
594,13.2
595,13.1
596,13.2
597,13.1
598,13.5
599,17.0
600,16.9
601,30.4
602,32.0
603,30.2
604,20.0
605,17.8
606,29.7
607,31.5
608,31.9
609,33.5
610,32.5
611,21.7
612,35.1
613,22.4
614,16.0
615,16.0
616,15.9
617,31.8
618,29.8
619,30.4
620,30.4
621,30.0
622,30.0
623,30.0
624,30.0
625,30.0
626,27.8
627,14.8
628,15.0
629,14.8
630,14.5
631,15.6
632,29.5
633,29.8
634,29.4
635,31.5
636,30.6
637,30.3
638,18.0
639,18.0
640,17.7
641,30.6
642,19.1
643,23.6
644,13.0
645,11.2
646,9.7
647,8.6
648,9.4
649,8.2
650,14.1
651,15.4
652,22.1
653,22.9
654,22.0
655,23.2
656,29.0
657,23.6
658,18.4
659,20.9
660,19.6
661,22.1
662,16.8
663,19.8
664,31.1
665,23.4
666,30.4
667,30.0
668,25.8
669,22.1
670,21.9
671,20.1
672,23.5
673,13.7
674,14.0
675,13.8
676,13.4
677,10.2
678,26.2
679,28.1
680,26.1
681,25.1
682,25.9
683,11.9
684,7.4
685,6.9
686,6.9
687,9.9
688,18.4
689,18.1
690,15.2
691,28.5
692,30.4
693,22.4
694,21.7
695,12.6
696,14.8
697,21.2
698,16.1
699,14.9
700,17.5
701,25.6
702,23.0
703,27.3
704,22.1
705,15.7
706,25.5
707,21.0
708,19.1
709,19.6
710,19.0
711,19.7
712,17.9
713,25.4
714,28.7
715,28.9
716,30.3
717,30.9
718,25.8
719,26.7
720,15.8
721,15.1
722,21.8
723,27.6
724,21.3
725,21.1
726,22.2
727,21.4
728,20.7
729,21.9
730,26.4
731,29.1
732,27.8
733,29.5
734,24.2
735,10.3
736,10.3
737,10.3
738,15.6
739,17.7
740,18.3
741,19.2
742,29.0
743,23.0
744,21.9
745,28.6
746,27.7
747,21.6
748,21.8
749,27.2
750,28.7
751,24.3
752,23.2
753,32.4
754,29.0
755,29.8
756,29.7
757,30.2
758,28.3
759,29.5
760,28.3
761,20.9
762,13.9
763,13.9
764,13.4
765,13.6
766,22.9
767,14.3
768,18.6
769,29.2
770,19.7
771,29.1
772,28.6
773,27.3
774,27.7
775,21.8
776,20.5
777,27.8
778,31.6
779,28.1
780,27.9
781,23.6
782,23.9
783,29.7
784,29.3
785,29.3
786,28.1
787,29.1
788,28.7
789,29.5
790,29.5
791,29.5
792,28.5
793,27.6
794,27.7
795,27.9
796,29.4
797,29.2
798,26.6
799,30.3
800,31.1
801,19.1
802,14.6
803,19.1
804,24.9
805,25.4
806,21.7
807,22.2
808,27.1
809,11.5
810,11.7
811,10.6
812,23.1
813,23.3
814,27.2
815,27.7
816,31.6
817,23.8
818,20.5
819,10.4
820,10.2
821,18.8
822,23.8
823,23.6
824,25.4
825,19.7
826,19.1
827,15.6
828,29.2
829,30.2
830,31.5
831,29.3
832,28.5
833,30.3
834,28.9
835,28.9
836,30.2
837,29.1
838,29.2
839,29.0
840,28.1
841,28.1
842,14.4
843,14.5
844,14.5
845,14.4
846,14.2
847,25.2
848,31.2
849,27.4
850,27.3
851,29.5
852,28.3
853,28.1
854,28.6
855,23.2
856,31.7
857,28.1
858,19.4
859,18.4
860,28.9
861,29.0
862,26.9
863,22.1
864,29.3
865,27.1
866,25.1
867,28.4
868,21.9
869,21.2
870,29.1
871,27.3
872,32.6
873,28.8
874,28.7
875,28.7
876,22.4
877,22.4
878,22.4
879,22.0
880,28.6
881,19.8
882,24.8
883,21.9
884,11.1
885,12.3
886,12.1
887,15.3
888,15.9
889,20.4
890,21.1
891,22.3
892,22.7
893,20.3
894,21.1
895,22.1
896,22.4
897,18.0
898,18.4
899,18.7
900,19.4
901,18.5
902,18.2
903,28.7
904,28.0
905,29.0
906,28.7
907,27.7
908,27.6
909,27.0
910,21.8
911,22.6
912,21.3
913,13.5
914,13.7
915,15.2
916,18.6
917,21.0
918,25.4
919,13.4
920,14.5
921,21.3
922,29.2
923,25.9
924,28.0
925,22.6
926,6.3
927,6.6
928,6.8
929,7.4
930,12.7
931,14.6
932,14.4
933,14.1
934,13.2
935,19.1
936,28.5
937,26.1
938,27.9
939,28.0
940,28.0
941,30.2
942,29.6
943,31.0
944,20.0
945,17.2
946,16.8
947,16.9
948,13.8
949,19.4
950,26.6
951,26.6
952,29.8
953,26.5
954,26.7
955,26.2
956,20.5
957,19.9
958,28.2
959,26.7
960,26.4
961,24.3
962,26.6
963,28.1
964,27.6
965,26.4
966,26.4
967,27.4
968,27.6
969,26.2
970,23.8
971,26.8
972,20.8
973,7.7
974,8.7
975,9.4
976,6.4
977,13.5
978,16.7
979,20.1
980,20.7
981,21.2
982,21.1
983,20.7
984,20.7
985,25.9
986,16.7
987,16.4
988,16.2
989,15.8
990,16.4
991,16.4
992,15.6
993,14.3
994,27.6
995,27.4
996,22.7
997,27.9
998,17.3
999,13.1
1000,13.5
1001,13.6
1002,13.6
1003,13.6
1004,13.3
1005,13.8
1006,13.1
1007,16.6
1008,16.3
1009,16.8
1010,16.9
1011,17.2
1012,30.1
1013,20.0
1014,17.9
1015,18.4
1016,18.4
1017,16.6
1018,16.8
1019,17.8
1020,17.5
1021,30.5
1022,29.5
1023,28.4
1024,28.9
1025,29.8
1026,29.9
1027,28.4
1028,27.9
1029,27.0
1030,25.9
1031,13.0
1032,13.0
1033,13.1
1034,13.0
1035,10.7
1036,18.4
1037,16.9
1038,17.0
1039,16.8
1040,16.7
1041,26.5
1042,27.7
1043,27.5
1044,26.7
1045,25.1
1046,25.8
1047,19.1
1048,25.6
1049,26.5
1050,26.5
1051,28.0
1052,13.0
1053,13.0
1054,13.4
1055,13.3
1056,9.0
1057,10.4
1058,11.2
1059,21.5
1060,20.9
1061,25.2
1062,20.9
1063,22.1
1064,27.6
1065,26.9
1066,18.0
1067,18.0
1068,18.0
1069,18.0
1070,18.0
1071,17.3
1072,17.0
